celcius, humidity, pressure, date, time
21.0,56.0,1024.0,2023 - 01 - 31 ,22:49:24
21.0,56.0,1023.0,2023 - 01 - 31 ,23:04:40
21.0,57.0,1023.0,2023 - 01 - 31 ,23:04:50
21.0,53.0,0,2023 - 02 - 01 ,14:38:09
22.0,53.0,1024.0,2023 - 02 - 01 ,14:38:19
25.0,45.0,1013.0,2023 - 02 - 08 ,16:39:07
25.0,45.0,1013.0,2023 - 02 - 08 ,16:55:08
25.0,45.0,1013.0,2023 - 02 - 08 ,16:55:53
25.0,45.0,1013.0,2023 - 03 - 04 ,19:02:41
25.0,45.0,1013.0,2023 - 03 - 13 ,19:25:53
25.0,45.0,1013.0,2023 - 03 - 13 ,19:26:08
25.0,45.0,1013.0,2023 - 03 - 13 ,19:26:29
25.0,45.0,1013.0,2023 - 03 - 13 ,19:26:44
25.0,45.0,1013.0,2023 - 03 - 13 ,19:30:51
25.0,45.0,1013.0,2023 - 03 - 13 ,19:32:42
25.0,45.0,1013.0,2023 - 03 - 13 ,19:33:00
25.0,45.0,1013.0,2023 - 03 - 13 ,21:13:39
25.0,45.0,1013.0,2023 - 03 - 13 ,21:14:39
25.0,45.0,1013.0,2023 - 03 - 13 ,21:15:43
25.0,45.0,1013.0,2023 - 03 - 13 ,21:16:11
25.0,45.0,1013.0,2023 - 03 - 13 ,21:16:29
25.0,45.0,1013.0,2023 - 03 - 13 ,21:25:55
2.0,45.0,1013.0,2023 - 03 - 13 ,21:47:54
2.0,45.0,1013.0,2023 - 03 - 13 ,21:48:17
2.0,45.0,1013.0,2023 - 03 - 13 ,21:48:56
2.0,45.0,1013.0,2023 - 03 - 13 ,21:49:13
2.0,45.0,1013.0,2023 - 03 - 13 ,21:49:19
2.0,45.0,1013.0,2023 - 03 - 13 ,21:49:36
2.0,46.0,1013.0,2023 - 03 - 13 ,21:49:54
2.0,45.0,1013.0,2023 - 03 - 13 ,21:50:11
2.0,45.0,1013.0,2023 - 03 - 13 ,21:50:28
2.0,45.0,1013.0,2023 - 03 - 13 ,21:50:46
2.0,45.0,1013.0,2023 - 03 - 13 ,21:51:03
2.0,45.0,1013.0,2023 - 03 - 13 ,21:51:21
2.0,45.0,1013.0,2023 - 03 - 13 ,21:51:38
2.0,45.0,1013.0,2023 - 03 - 13 ,21:51:55
2.0,45.0,1013.0,2023 - 03 - 13 ,21:52:13
2.0,45.0,1013.0,2023 - 03 - 13 ,21:52:30
25.0,44.0,1013.0,2023 - 03 - 13 ,22:11:32
25.0,45.0,1013.0,2023 - 03 - 13 ,22:11:50
25.0,45.0,1013.0,2023 - 03 - 13 ,22:12:08
48.0,61.0,1013.0,2023 - 03 - 13 ,22:12:27
-5.0,25.0,1013.0,2023 - 03 - 13 ,22:12:45
25.0,45.0,1013.0,2023 - 03 - 14 ,21:44:45
2.0,45.0,1013.0,2023 - 03 - 14 ,21:45:04
2.0,45.0,1013.0,2023 - 03 - 14 ,22:02:07
2.0,45.0,1013.0,2023 - 03 - 14 ,22:02:44
2.0,45.0,1013.0,2023 - 03 - 14 ,22:03:01
2.0,45.0,1013.0,2023 - 03 - 14 ,22:03:19
2.0,45.0,1013.0,2023 - 03 - 14 ,22:03:37
10.0,45.0,1013.0,2023 - 03 - 14 ,22:03:55
10.0,45.0,1013.0,2023 - 03 - 14 ,22:04:13
10.0,45.0,1013.0,2023 - 03 - 14 ,22:05:05
6.0,45.0,1013.0,2023 - 03 - 14 ,22:05:24
6.0,45.0,1013.0,2023 - 03 - 14 ,22:05:42
17.0,45.0,1013.0,2023 - 03 - 14 ,22:05:59
10.0,45.0,1013.0,2023 - 03 - 14 ,22:06:18
10.0,45.0,1013.0,2023 - 03 - 14 ,22:21:21
